TransactionId,AccountId,TransactionType,Amount,Timestamp,Category,Description
1,1,Credit,200.00,,,Salary credit from Acme Corp.
2,1,Debit,50.00,,,Purchased groceries at SuperMart.
3,5,Credit,1000.00,,,Interest earned on savings.
4,12,Debit,300.00,,,Online payment for utilities.
5,2,Credit,500.00,,,Refund from online store.
6,25,Debit,150.00,,,Dinner at restaurant.
7,3,Credit,2500.00,,,Monthly salary.
8,1,Debit,75.00,,,Gasoline purchase.
9,18,Credit,1200.00,,,Dividend payment.
10,8,Debit,200.00,,,Clothing purchase.
11,30,Credit,800.00,,,Transfer from another account.
12,5,Debit,60.00,,,Coffee shop purchase.
13,22,Credit,3000.00,,,Investment profit.
14,10,Debit,400.00,,,Electronics purchase.
15,35,Credit,600.00,,,Bonus payment.
16,15,Debit,90.00,,,Movie tickets.
17,2,Credit,2800.00,,,Monthly salary.
18,28,Debit,120.00,,,Book purchase.
19,4,Credit,1500.00,,,Rental income.
20,40,Debit,250.00,,,Home improvement supplies.
21,10,Credit,900.00,,,Gift received.
22,32,Debit,70.00,,,Pharmacy purchase.
23,17,Credit,3500.00,,,Investment profit.
24,45,Debit,450.00,,,Furniture purchase.
25,20,Credit,700.00,,,Insurance claim payout.
26,3,Debit,100.00,,,Concert tickets.
27,38,Credit,3000.00,,,Monthly salary.
28,6,Debit,130.00,,,Sporting goods purchase.
29,50,Credit,1800.00,,,Freelance income.
30,15,Debit,300.00,,,Car repair.
31,42,Credit,1000.00,,,Lottery winnings.
32,24,Debit,80.00,,,Bakery purchase.
33,55,Credit,4000.00,,,Investment profit.
34,27,Debit,500.00,,,Travel expenses.
35,4,Credit,800.00,,,Scholarship payment.
36,48,Debit,110.00,,,Art supplies purchase.
37,9,Credit,3200.00,,,Monthly salary.
38,60,Debit,140.00,,,Pet supplies.
39,18,Credit,2000.00,,,Consulting fees.
40,52,Debit,350.00,,,Dental visit.
41,30,Credit,1200.00,,,Tax refund.
42,65,Debit,90.00,,,Hardware store purchase.
43,33,Credit,4500.00,,,Investment profit.
44,5,Debit,550.00,,,Appliance purchase.
45,58,Credit,900.00,,,Grant payment.
46,11,Debit,120.00,,,Garden supplies.
47,70,Credit,3400.00,,,Monthly salary.
48,21,Debit,150.00,,,Pharmacy purchase.
49,75,Credit,2200.00,,,Bonus payment.
50,36,Debit,280.00,,,Clothing purchase.
51,62,Credit,1100.00,,,Transfer from savings.
52,40,Debit,65.00,,,Coffee shop purchase.
53,80,Credit,3800.00,,,Investment profit.
54,44,Debit,480.00,,,Electronics purchase.
55,72,Credit,750.00,,,Refund from online store.
56,47,Debit,100.00,,,Dinner at restaurant.
57,85,Credit,3100.00,,,Monthly salary.
58,51,Debit,135.00,,,Gasoline purchase.
59,90,Credit,1900.00,,,Dividend payment.
60,54,Debit,220.00,,,Book purchase.
61,95,Credit,1000.00,,,Rental income.
62,57,Debit,75.00,,,Home improvement supplies.
63,13,Credit,4200.00,,,Gift received.
64,61,Debit,55.00,,,Pharmacy purchase.
65,100,Credit,850.00,,,Insurance claim payout.
66,66,Debit,95.00,,,Concert tickets.
67,2,Credit,3600.00,,,Monthly salary.
68,71,Debit,145.00,,,Sporting goods purchase.
69,7,Credit,2100.00,,,Freelance income.
70,76,Debit,320.00,,,Car repair.
71,16,Credit,1300.00,,,Lottery winnings.
72,81,Debit,85.00,,,Bakery purchase.
73,26,Credit,4800.00,,,Investment profit.
74,86,Debit,580.00,,,Travel expenses.
75,31,Credit,950.00,,,Scholarship payment.
76,91,Debit,115.00,,,Art supplies purchase.
